Experiment Name:;2019-04-09_BCD057_Adal_Binding_CO-Adal-186011218R_Adal58-29-186020818R_Adal57-97-186030818R_Parсur Template

Tube Name:;Sample ID:;live singlets Events;live singlets Median PE-A
02-unstained-G1;control1;18671;334,8
02-isotype-G2;control2;17059;331,6
02-0-G3;ST4_1;17150;377,8
02-0.0015241579-G4;ST4_2;17237;3419,2
02-0.0045724-G5;ST4_3;18940;10433,6
02-0.0137174211-G6;ST4_4;18694;31426,4
02-0.041152263-G7;ST4_5;19042;91714,4
02-0.12345679-G8;ST4_6;16608;257226,8
02-0.37037037-G9;ST4_7;17334;586525,1
02-1.11111-G10;ST4_8;14046;675038,1
02-3.33333-G11;ST4_9;12033;688592,4
02-10-G12;ST4_10;14397;705627,0
